fold1_train,fold1_val,fold2_train,fold2_val,fold3_train,fold3_val,fold4_train,fold4_val
6.5023967652093795,6.256458327883766,6.5044990236108955,6.271989342088925,6.470633506774902,6.2392697849019605,6.493170013427735,6.238188315148974
6.435105709802537,6.215421788832721,6.4317495389418164,6.223978851658367,6.405191856881847,6.18141208200976,6.406940803527832,6.197864815926097
6.379695915040516,6.181865097761822,6.366991888393056,6.191678366898577,6.347338945969291,6.128171306385816,6.3368081283569335,6.159887743799504
6.32328614734468,6.1459519749596,6.30046010017395,6.16320577314915,6.280694692031197,6.058641136924663,6.247594013214111,6.1027321904379175
6.261911483038039,6.097499143509638,6.204856872558594,6.143717370799627,6.1801804044972295,6.007702058863082,6.109271621704101,6.161009414984159
6.181929633730934,6.063448661515693,6.092136881568215,6.275944858915649,6.097137845080832,6.031697195716336,5.978643589019775,6.171828748968483
6.094714255560012,6.098821660049823,6.006809993223711,6.341265476766818,6.0201822156491485,5.984208450659076,5.862890625,6.251111866261741
6.03712831224714,6.070485247283423,5.936383334073153,6.25772636420882,5.944496175517207,5.979462061335748,5.7695620727539065,6.335787791370918
5.97919884182158,6.057411217889866,5.871352672576904,6.289834051561058,5.897296739661175,5.963842429203565,5.698752174377441,6.345928374327075
5.919935975755964,6.08241894933022,5.818292271007191,6.357817600128703,5.838237368542215,5.957096612393227,5.628338241577149,6.404122410278826
5.863084997449603,6.103489867779387,5.7693211815573955,6.314794202801873,5.791324491086214,5.961685285581379,5.57682243347168,6.513762857004675
5.818121274312337,6.083266035181468,5.729180942882191,6.28825737935301,5.754660461259925,5.968212249906554,5.523590888977051,6.576704055556472
5.7784743309021,6.060468939506039,5.681823015213013,6.345727425617757,5.71285805494889,5.9320017924591335,5.466456356048584,6.538666402394848
5.729379199800038,6.103987289076092,5.646345810456709,6.3768408334550895,5.673143531965173,5.986445739283494,5.419473133087158,6.502412583873404
5.6918276605151945,6.163249452574914,5.614491766149348,6.378730618249363,5.651795428732167,5.946302413502361,5.419473133087158,6.502412583873404
5.660109292893183,6.167602123666544,5.614491766149348,6.378730618249363,5.623239123302957,5.935642162484207,5.419473133087158,6.502412583873404
5.613524505070278,6.168545419762449,5.614491766149348,6.378730618249363,5.589148003122081,6.00093009836585,5.419473133087158,6.502412583873404
5.594356945582798,6.184618334142434,5.614491766149348,6.378730618249363,5.570511341094971,5.9749401652818435,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.540300224138343,6.01123087615336,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.515979310740596,5.920629738337631,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.4929622152577275,6.011961464932275,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.4752044677734375,5.972306223051451,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.45843387686688,6.065117874110462,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.445031870966372,5.9864282537941325,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.41925861524499,6.023724363000228,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.398966229480246,6.003634097546572,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.383317346158235,6.068877184889324,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.361797001050866,6.056173435854266,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.339236093604046,6.0178041968479254,5.419473133087158,6.502412583873404
5.550134499867757,6.174581450240619,5.614491766149348,6.378730618249363,5.325676918029785,6.040856180028955,5.419473133087158,6.502412583873404
