patch_stem,sample,row,col,tumor_frac,hepatocyte_frac,hm11_resemblance,hm11_resemblance_noliver,leaving_score,leaving_score_resid
IU_PDA_T11_patch-000009_52_42,IU_PDA_T11,52,42,0.5654688477516174,0.002742283046245575,6.12269678501028,6.33901930861008,0.164431296454197,-0.2095756169535187
IU_PDA_T11_patch-000010_65_83,IU_PDA_T11,65,83,0.5900433659553528,5.85189918638207e-05,4.15765605181802,4.262138366427665,-0.1419825324861862,-0.6982563175280522
IU_PDA_T11_patch-000011_35_79,IU_PDA_T11,35,79,0.697063684463501,3.914808257832192e-05,6.1257053326091295,6.275786754478677,0.536936993535837,-0.3156907527115754
IU_PDA_T11_patch-000013_67_59,IU_PDA_T11,67,59,0.5540753602981567,3.7707988667534664e-05,0.8045441741234479,0.8474672150627637,0.1761788478366932,-0.1455188004360205
IU_PDA_T11_patch-000014_66_70,IU_PDA_T11,66,70,0.6974716782569885,2.8431753889890388e-05,1.2774301208757988,1.4307025700638845,-0.035701771905321,-1.031572658431268
IU_PDA_T11_patch-000028_65_87,IU_PDA_T11,65,87,0.6563470363616943,3.934782216674648e-05,3.1800913379135998,3.2588865979983037,0.2873718383865251,-0.4503479681255608
IU_PDA_T11_patch-000031_53_101,IU_PDA_T11,53,101,0.526453971862793,6.332150951493531e-05,0.6557392352972105,0.5693974359253667,-0.6800329420160459,-1.09348497176005
IU_PDA_T11_patch-000035_26_94,IU_PDA_T11,26,94,0.6949641108512878,0.006246873177587986,-10.520898231807223,-10.638163693280912,1.4877314450949066,0.8791079155302414
IU_PDA_T11_patch-000036_55_31,IU_PDA_T11,55,31,0.5300867557525635,4.025318776257336e-05,6.552168456641167,6.835174132616561,0.8232891278710107,0.7654887236088966
IU_PDA_T11_patch-000037_47_33,IU_PDA_T11,47,33,0.5119505524635315,0.002715650713071227,5.708257541460686,5.766844028833461,0.5720215199497742,0.5307901340270511
IU_PDA_T11_patch-000038_61_37,IU_PDA_T11,61,37,0.5344933271408081,5.844080078531988e-05,6.382683914155685,6.538668662706111,-0.2601205215830834,-0.6046926519058006
IU_PDA_T11_patch-000039_51_93,IU_PDA_T11,51,93,0.5472903251647949,0.01939382217824459,-5.181771444285492,-5.090374363176844,-0.3003173712326641,-0.7103135527473337
IU_PDA_T11_patch-000041_59_31,IU_PDA_T11,59,31,0.5752636194229126,4.096725751878694e-05,6.1263640520546305,6.324949535055388,0.3812659109562309,0.0183550587767977
IU_PDA_T11_patch-000042_15_67,IU_PDA_T11,15,67,0.853085458278656,2.9815015295753255e-05,-5.246100401950632,-5.242413747040124,1.5455570188398366,0.2655388844935754
IU_PDA_T11_patch-000043_27_99,IU_PDA_T11,27,99,0.6969896554946899,0.01879018358886242,-10.07196529182134,-10.366844405838009,-0.2670385659234246,-1.3179723677546231
IU_PDA_T11_patch-000050_67_43,IU_PDA_T11,67,43,0.5094115734100342,6.087978545110673e-05,2.5258334617627796,2.778030133381741,1.0012849990875616,1.077115862261051
IU_PDA_T11_patch-000052_40_96,IU_PDA_T11,40,96,0.8134618401527405,0.013795619830489159,-0.1646090246695267,-0.13953788454419133,1.1344743435332076,-0.0752795801115459
IU_PDA_T11_patch-000053_24_70,IU_PDA_T11,24,70,0.8047154545783997,0.01724386401474476,-10.299493183258697,-10.411681784904985,2.260524668344892,1.3668963725801258
IU_PDA_T11_patch-000057_16_92,IU_PDA_T11,16,92,0.7762529253959656,4.184203135082498e-05,-9.305257445176037,-9.394648032455756,0.2296047957879858,-1.0423491532597915
IU_PDA_T11_patch-000060_24_76,IU_PDA_T11,24,76,0.754217803478241,3.1195122573990375e-05,-3.3876487312481625,-3.341347426445887,1.013065933927057,0.0302244183284915
IU_PDA_T11_patch-000063_23_65,IU_PDA_T11,23,65,0.7599304914474487,0.0071024540811777115,-0.7446583903524993,-0.6248982990081839,2.0154288510221883,1.2554545998422948
IU_PDA_T11_patch-000064_54_94,IU_PDA_T11,54,94,0.5487523674964905,5.798200800199993e-05,6.4502431244596945,6.786702469469282,0.6897748348642114,0.5180469535488339
IU_PDA_T11_patch-000067_48_42,IU_PDA_T11,48,42,0.5432993173599243,5.7777066103881225e-05,7.65055562887877,7.793138075412214,0.6560309684541241,0.4996131810014079
IU_PDA_T11_patch-000068_24_40,IU_PDA_T11,24,40,0.8097089529037476,4.418389653437771e-05,-0.20526798351122574,-0.19997833786843563,1.8971685949405768,0.8921170480799295
IU_PDA_T11_patch-000075_35_93,IU_PDA_T11,35,93,0.8840749859809875,4.5454453356796876e-05,-0.4545217645103681,-0.3409633011033723,1.3825180489166422,-0.072163505058223
IU_PDA_T11_patch-000077_16_66,IU_PDA_T11,16,66,0.7504363656044006,0.008401431143283844,-4.649887193070344,-4.632529256007166,1.2668071475725629,0.3630518572693896
IU_PDA_T11_patch-000078_20_66,IU_PDA_T11,20,66,0.9590388536453247,4.687758337240666e-05,-4.733387592318493,-4.717944335274107,0.2069596781975,-1.8632256634612685
IU_PDA_T11_patch-000086_59_39,IU_PDA_T11,59,39,0.5479098558425903,5.730569318984635e-05,6.3933360126402,6.644228755320294,0.71274049909216,0.5503399109187207
IU_PDA_T11_patch-000087_26_90,IU_PDA_T11,26,90,0.7437171936035156,0.0008771295542828739,-9.613093833881484,-9.84588994166549,0.1364422748763042,-1.0174394066941972
IU_PDA_T11_patch-000093_57_35,IU_PDA_T11,57,35,0.5713478922843933,5.8169236581306905e-05,7.157831256750646,7.388804684073056,0.3400342014692108,-0.0160829543201574
IU_PDA_T11_patch-000096_27_87,IU_PDA_T11,27,87,0.8533826470375061,0.0032382092904299498,-5.89684125719665,-5.908076213729554,1.6492189735632274,0.3935224231391814
IU_PDA_T11_patch-000097_24_38,IU_PDA_T11,24,38,0.628132164478302,0.0017244408372789621,2.90187170322122,3.087420941095267,1.328653545003008,0.9705403182283776
IU_PDA_T11_patch-000099_26_92,IU_PDA_T11,26,92,0.7045748233795166,2.8911004847032018e-05,-9.983400852048032,-10.228788203482573,0.7121426430217539,-0.1297709387297821
IU_PDA_T11_patch-000102_25_81,IU_PDA_T11,25,81,0.7607749104499817,4.268492557457648e-05,-0.21386759052780652,-0.2062047763110857,1.0831100070473691,0.0891389300562831
IU_PDA_T11_patch-000104_19_47,IU_PDA_T11,19,47,0.7042570114135742,4.242791692377068e-05,-7.501327600434192,-7.549353733649869,0.6030696397250505,-0.2644129276616619
IU_PDA_T11_patch-000112_57_85,IU_PDA_T11,57,85,0.5101144909858704,5.9138146752957255e-05,-4.1940160083878695,-4.4365381633062695,-0.4851423428071713,-0.7795905871306633
