Gene,Category,Expression_Type,IU_PDA_HM9,IU_PDA_HM10,IU_PDA_HM11,IU_PDA_HM12,IU_PDA_HM13,IU_PDA_HM2,IU_PDA_HM3,IU_PDA_HM4,IU_PDA_HM5,IU_PDA_HM6,IU_PDA_HM8,IU_PDA_HM2_2,IU_PDA_T1,IU_PDA_T9,IU_PDA_T10,IU_PDA_T11,IU_PDA_T12,IU_PDA_T2,IU_PDA_T3,IU_PDA_T4,IU_PDA_T6,IU_PDA_T8
SERPINB5,EMT / invasion,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
KRT7,EMT / invasion,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
MMP2,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
THBS1,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
LUM,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
FSTL1,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
FN1,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
TIMP1,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
LAMC2,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
MSLN,ECM remodelling,Overexpressed,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT
