"image_name","mean_pixel_spacing","microns_per_pixel","pixels_per_micron","spot_diameter_pixels","spot_radius_pixels","scale_spot","scale_fiducial","scale_hires","scale_lowres"
"IU_PDA_HM9",276.175012734737,0.362089238305019,2.76175012734737,151.896257004105,75.9481285020527,0.08206475,284.164230003552,0.08206475,0.024619425
"IU_PDA_HM10",209.589673635624,0.477122743050081,2.09589673635624,115.274320499593,57.6371602497965,0.12533684,213.127663733527,0.12533684,0.037601054
"IU_PDA_HM11",271.367482799293,0.368503989381665,2.71367482799293,149.252115539611,74.6260577698057,0.08185316,284.227429347048,0.08185316,0.024555946
"IU_PDA_HM12",135.679619889928,0.737030366691228,1.35679619889928,74.6237909394604,37.3118954697302,0.16975047,142.168544755287,0.16975047,0.05092514
"IU_PDA_HM13",278.781956773772,0.358703271751367,2.78781956773772,153.330076225574,76.6650381127872,0.088880986,284.027651885045,0.088880986,0.026664296
"IU_PDA_HM2",271.42949067671,0.368419804902874,2.7142949067671,149.28621987219,74.6431099360952,0.08821843,283.996416437131,0.08821843,0.02646553
"IU_PDA_HM3",272.260353512196,0.36729549018058,2.72260353512196,149.743194431708,74.8715972158538,0.088429056,284.157821883614,0.088429056,0.026528718
"IU_PDA_HM4",271.271810875904,0.368633953071319,2.71271810875904,149.199495981747,74.5997479908737,0.08513536,284.194317427147,0.08513536,0.025540609
"IU_PDA_HM5",135.785810911584,0.736453973568082,1.35785810911584,74.682196001371,37.3410980006855,0.16975047,142.213705282729,0.16975047,0.05092514
"IU_PDA_HM6",211.312276479409,0.473233271942648,2.11312276479409,116.221752063675,58.1108760318374,0.12386969,213.20212046374,0.12386969,0.037160907
"IU_PDA_HM8",203.277720511105,0.491937826479793,2.03277720511105,111.802746281108,55.901373140554,0.12553352,213.296504226262,0.12553352,0.037660055
"IU_PDA_LNM10",271.485713867614,0.368343507197449,2.71485713867614,149.317142627188,74.6585713135938,0.088880986,284.042732691266,0.088880986,0.026664296
"IU_PDA_LNM12",271.502954721158,0.368320116820471,2.71502954721158,149.326625096637,74.6633125483186,0.08206475,284.05790034404,0.08206475,0.024619425
"IU_PDA_LNM6",271.009891322031,0.368990222136113,2.71009891322031,149.055440227117,74.5277201135584,0.08535336,284.267690607435,0.08535336,0.025606008
"IU_PDA_LNM7",271.731705117375,0.368010055936626,2.71731705117375,149.452437814556,74.7262189072782,0.08535336,284.155405734688,0.08535336,0.025606008
"IU_PDA_LNM8",272.060111235728,0.367565827808379,2.72060111235728,149.63306117965,74.8165305898252,0.08206475,284.104176473601,0.08206475,0.024619425
"IU_PDA_HM2_2",271.233264746331,0.368686341232976,2.71233264746331,149.178295610482,74.5891478052411,0.086464055,284.156245948552,0.086464055,0.025939215
"IU_PDA_NP10",274.611856391053,0.364150336821576,2.74611856391053,151.036521015079,75.5182605075395,0.088880986,284.119137017712,0.088880986,0.026664296
"IU_PDA_NP11",271.264621155969,0.368643723511969,2.71264621155969,149.195541635783,74.5977708178914,0.08185316,284.154555202914,0.08185316,0.024555946
"IU_PDA_NP2",271.593215947608,0.3681977093982,2.71593215947608,149.376268771184,74.6881343855922,0.086464055,283.977915823585,0.086464055,0.025939215
"IU_PDA_T1",271.382759179957,0.368483245959221,2.71382759179957,149.260517548976,74.630258774488,0.08126117,284.092667242245,0.08126117,0.024378352
"IU_PDA_T9",272.302211945144,0.367239029333134,2.72302211945144,149.766216569829,74.8831082849146,0.08206475,284.052915518339,0.08206475,0.024619425
"IU_PDA_T10",203.694694069457,0.490930804343394,2.03694694069457,112.032081738201,56.0160408691007,0.12533684,213.113844247282,0.12533684,0.037601054
"IU_PDA_T11",273.119306007761,0.36614035624841,2.73119306007761,150.215618304268,75.1078091521342,0.08976661,284.308131895949,0.08976661,0.026929982
"IU_PDA_T12",135.477892307764,0.738127810350275,1.35477892307764,74.5128407692701,37.256420384635,0.16975047,142.118959523226,0.16975047,0.05092514
"IU_PDA_T2",271.057704918124,0.368925133599158,2.71057704918124,149.081737704968,74.5408688524841,0.08369251,284.188447301727,0.08369251,0.025107754
"IU_PDA_T3",275.242915047631,0.363315437139209,2.75242915047631,151.383603276197,75.6918016380984,0.08442737,288.160305115437,0.08442737,0.025328211
"IU_PDA_T4",271.417779953461,0.368435700922565,2.71417779953461,149.279778974404,74.6398894872018,0.08839388,284.208364363171,0.08839388,0.026518164
"IU_PDA_T6",204.18712813215,0.489746836222114,2.0418712813215,112.302920472683,56.1514602363414,0.12386969,213.331624358544,0.12386969,0.037160907
"IU_PDA_T8",203.548286805313,0.491283918766886,2.03548286805313,111.951557742922,55.9757788714609,0.12553352,213.073166639163,0.12553352,0.037660055
