patch_stem,sample,row,col,tumor_frac,hepatocyte_frac,caf_frac,leaving_score,leaving_score_resid,pred_raw,pred_resid,pred_raw_smooth,pred_resid_smooth,predictor
IU_PDA_T1_patch-000001_50_102,IU_PDA_T1,50,102,0.1728638708591461,0.0003817333199549,0.5310381054878235,-1.406785413251811,-1.2320415013193886,0.41641587018966675,0.13873592019081116,0.2814782421503748,0.11551420071295329,bridge128
IU_PDA_T1_patch-000002_59_19,IU_PDA_T1,59,19,0.0347338356077671,2.972617221530527e-05,0.6391857862472534,-0.0363762552125827,-0.1080145219125518,0.34283506870269775,0.35150986909866333,0.07593998499214649,0.1582237146794796,bridge128
IU_PDA_T1_patch-000003_14_94,IU_PDA_T1,14,94,0.3523067533969879,0.0023967903107404,0.4466659426689148,-1.0301898350574683,-0.4201714627166469,-0.5263046622276306,-0.4653172194957733,-0.2490768681413361,-0.19619554174797876,bridge128
IU_PDA_T1_patch-000005_73_43,IU_PDA_T1,73,43,3.001835466420744e-05,3.001835648319684e-05,0.763869047164917,-0.1121322843363542,-0.5937609499106692,0.3542135953903198,-0.074894480407238,0.3453497418335506,0.004247417407376426,bridge128
IU_PDA_T1_patch-000006_45_115,IU_PDA_T1,45,115,0.1177480071783065,1.990219607250765e-05,0.6201038360595703,-0.7676453266019257,-0.8169442434008961,-0.38302457332611084,0.14461536705493927,0.03885020315647125,0.08047565631568432,bridge128
IU_PDA_T1_patch-000009_65_83,IU_PDA_T1,65,83,0.0879359617829322,0.000560306594707,0.6682575345039368,1.0402251598827863,1.0621533830088037,0.5954297780990601,0.21215328574180603,0.5228790215083531,0.1078035134289946,bridge128
IU_PDA_T1_patch-000010_37_19,IU_PDA_T1,37,19,2.9387889298959635e-05,2.938789657491725e-05,0.8487548828125,-0.4093519250620795,-1.1849938178691573,0.4823787212371826,0.10721123963594437,0.3315226249396801,0.04857167974114418,bridge128
IU_PDA_T1_patch-000011_6_64,IU_PDA_T1,6,64,0.0614929758012294,2.108437183778733e-05,0.764426589012146,-1.0830684284327363,-1.6487603324099611,0.42990463972091675,0.2205420434474945,0.4669123057808195,0.19975346326828003,bridge128
IU_PDA_T1_patch-000012_35_79,IU_PDA_T1,35,79,0.3774582147598266,2.8934739020769484e-05,0.4432912170886993,-1.1958327047373016,-0.5789176806342419,0.1590372771024704,0.010478921234607697,0.12481300781170528,-0.056753708670536675,bridge128
IU_PDA_T1_patch-000013_65_91,IU_PDA_T1,65,91,0.1650015860795974,1.7795568055589683e-05,0.7521546483039856,0.6170133136778194,0.3881696609670584,0.4094473421573639,0.06053430587053299,0.5232343545981816,0.15613075558628356,bridge128
IU_PDA_T1_patch-000014_67_59,IU_PDA_T1,67,59,0.0959186181426048,2.876632788684219e-05,0.6224428415298462,0.2516516120205875,0.3133142733432036,0.4752291440963745,0.2140137106180191,0.4431216503892626,0.13103229765381133,bridge128
IU_PDA_T1_patch-000015_14_118,IU_PDA_T1,14,118,0.4517942368984222,0.0055910437367856,0.3167147934436798,-1.2134541120057825,-0.1639133119268725,-0.5545796155929565,-0.0066823288798332214,-0.13566521182656288,0.08641142770648003,bridge128
IU_PDA_T1_patch-000016_8_110,IU_PDA_T1,8,110,0.1470744609832763,2.267564013891388e-05,0.7302596569061279,0.2609208814831026,0.0377610546630436,0.5965456962585449,0.2642911672592163,0.5679835652311643,0.17655007044474283,bridge128
IU_PDA_T1_patch-000017_66_70,IU_PDA_T1,66,70,0.1322241574525833,2.7706757464329712e-05,0.6396288871765137,0.874423695805121,0.9931815377700866,0.7506545186042786,0.15713657438755035,0.5750249751976558,0.10273756299700056,bridge128
IU_PDA_T1_patch-000018_23_113,IU_PDA_T1,23,113,0.0265945326536893,2.048663009190932e-05,0.7880426645278931,-0.9675236522857488,-1.6146773910589718,0.2130080908536911,-0.0826496109366417,0.1066603746398219,-0.09968460776976176,bridge128
IU_PDA_T1_patch-000019_45_67,IU_PDA_T1,45,67,0.1335994750261306,2.645435779413674e-05,0.6515225172042847,0.6868011697420123,0.7461751043860091,0.2445642054080963,0.060317374765872955,0.37415305773417157,0.051193914065758385,bridge128
IU_PDA_T1_patch-000020_64_12,IU_PDA_T1,64,12,0.0284754708409309,4.288671334506944e-05,0.8217717409133911,1.067300965638163,0.5879250973544752,0.24858222901821136,-0.12014692276716232,0.2773119546473026,-0.026613206913073856,bridge128
IU_PDA_T1_patch-000022_10_48,IU_PDA_T1,10,48,0.0697715058922767,0.0011528974864631,0.7363442182540894,0.1469436732327453,-0.1665027812329091,0.3659992218017578,0.14013387262821198,0.17365950026682445,-0.012815082711832864,bridge128
IU_PDA_T1_patch-000024_66_22,IU_PDA_T1,66,22,1.4315453881863505e-05,0.0024091552477329,0.8454064726829529,-0.7475380863621804,-1.557623866647931,0.03718851879239082,-0.24541069567203522,-0.05374677553772926,-0.2584135517477989,bridge128
IU_PDA_T1_patch-000026_55_55,IU_PDA_T1,55,55,1.279570824408438e-05,1.2795700968126766e-05,0.6444984078407288,0.5012159284256531,0.4587322878200121,0.5416243076324463,0.14548249542713165,0.6314657160214016,0.13494546285697392,bridge128
IU_PDA_T1_patch-000027_24_62,IU_PDA_T1,24,62,0.1322744786739349,1.3847546142642386e-05,0.5732928514480591,0.1298340311495329,0.3498872066585491,0.27819180488586426,0.48667657375335693,-0.05313680587070329,0.23055116832256317,bridge128
IU_PDA_T1_patch-000029_10_106,IU_PDA_T1,10,106,0.0824195146560669,0.0057958103716373,0.6126450300216675,-0.5899346403333445,-0.6195162799658329,0.45758306980133057,0.4376683533191681,0.48346031705538434,0.24929111202557883,bridge128
IU_PDA_T1_patch-000031_10_52,IU_PDA_T1,10,52,0.261964201927185,0.0033605070784687,0.5661848783493042,-0.6883053869106637,-0.4588693816486105,0.4760171175003052,0.2459796816110611,0.32573931557791574,0.21319141451801574,bridge128
IU_PDA_T1_patch-000033_44_94,IU_PDA_T1,44,94,0.2884822189807892,2.957449760288e-05,0.5984821915626526,-0.162354507795337,0.0588409389001628,0.46140655875205994,0.19888822734355927,0.36298030827726635,0.09406303614377975,bridge128
IU_PDA_T1_patch-000034_42_96,IU_PDA_T1,42,96,0.1070300936698913,2.039555511146318e-05,0.6387783885002136,-0.3386952407844663,-0.3955520166742879,0.6801806092262268,0.31447792053222656,0.47508563633475986,0.13635675396238053,bridge128
IU_PDA_T1_patch-000035_14_88,IU_PDA_T1,14,88,0.1061389744281768,4.197033558739349e-05,0.4926316738128662,-1.2457077342299998,-0.9836572250058075,-0.12108219414949417,-0.37430137395858765,-0.39492789123739513,-0.2295261493750981,bridge128
IU_PDA_T1_patch-000036_31_115,IU_PDA_T1,31,115,0.137542113661766,0.0039457147940993,0.5719509124755859,-1.01982357887689,-0.9430914733059742,0.5766547918319702,0.4611658751964569,0.5515406387192863,0.11591057692255292,bridge128
IU_PDA_T1_patch-000037_47_69,IU_PDA_T1,47,69,0.0998671278357505,1.9670518668135628e-05,0.8106656074523926,-0.3843899939223316,-0.9687220546865593,0.6909525990486145,-0.03846978396177292,0.3998508197920663,-0.07972588070801326,bridge128
IU_PDA_T1_patch-000038_36_106,IU_PDA_T1,36,106,0.0861739590764045,0.0069149122573435,0.6922103762626648,1.0494961909363485,0.9994134690851848,0.563834011554718,0.1990036964416504,0.479618455682482,0.08542299057756152,bridge128
IU_PDA_T1_patch-000039_53_79,IU_PDA_T1,53,79,0.1030944734811782,2.738046350714285e-05,0.6020125150680542,-0.7525471757313577,-0.7563402492170921,0.4180184006690979,0.10940856486558914,0.44345704426190685,0.12571049694504058,bridge128
IU_PDA_T1_patch-000040_65_87,IU_PDA_T1,65,87,0.049161072820425,2.803171628329437e-05,0.7707353234291077,0.5115863776384437,0.127628359368484,0.41591548919677734,0.10577686876058578,0.5433680287429264,0.19160822353192739,bridge128
IU_PDA_T1_patch-000041_44_56,IU_PDA_T1,44,56,0.2589325308799743,0.0010750282090157,0.6029402613639832,-0.3810115062555689,-0.22376460601215,0.9393079280853271,0.18372990190982819,0.12592135156903947,0.09743232492889677,bridge128
IU_PDA_T1_patch-000042_53_101,IU_PDA_T1,53,101,3.1358664273284376e-05,3.1358678825199604e-05,0.6437785625457764,0.3490535699809169,0.2887284992074972,0.5756382346153259,-0.1900489777326584,0.4935461367879595,0.10643168325935091,bridge128
IU_PDA_T1_patch-000043_76_60,IU_PDA_T1,76,60,0.0083833634853363,1.952057209564373e-05,0.6742398142814636,3.063159839696868,3.2745581670539976,0.311792254447937,-0.012208454310894012,0.3203580656221935,0.12250748702457973,bridge128
IU_PDA_T1_patch-000044_21_111,IU_PDA_T1,21,111,0.1282994449138641,2.054190917988308e-05,0.7457828521728516,-0.2320316342144955,-0.5805044153757586,0.5400893092155457,0.023194022476673126,0.26617978300367084,-0.12349628657102585,bridge128
IU_PDA_T1_patch-000045_16_24,IU_PDA_T1,16,24,0.0539168417453765,1.3568779650086071e-05,0.8793361186981201,1.1154915749136562,0.488354543904857,0.35285377502441406,-0.09244029968976974,0.2864439323544502,-0.06243439167737961,bridge128
IU_PDA_T1_patch-000046_13_69,IU_PDA_T1,13,69,0.0109249176457524,0.001019338495098,0.3614275455474853,-1.0318414739128492,-0.4178812956805521,-0.6661578416824341,-0.16032905876636505,-0.2857901688132967,-0.06804992364985603,bridge128
IU_PDA_T1_patch-000047_49_17,IU_PDA_T1,49,17,0.0241711214184761,1.9902676285710182e-05,0.777227520942688,2.897069059905863,2.78898977935973,0.07043104618787766,-0.2713450491428375,0.16444743871688844,-0.08643831312656403,bridge128
IU_PDA_T1_patch-000048_33_51,IU_PDA_T1,33,51,1.3773104001302272e-05,1.3773104910796974e-05,0.6429833173751831,0.0869610689573662,-0.0054668878285415,0.6028876304626465,0.1887679249048233,0.4322214861001287,0.05088001276765551,bridge128
IU_PDA_T1_patch-000049_34_58,IU_PDA_T1,34,58,0.2411865890026092,2.595398109406233e-05,0.5435508489608765,0.4182343031681793,0.8458789141591734,0.455039381980896,0.13760830461978912,0.49369144280041966,0.10422717886311668,bridge128
IU_PDA_T1_patch-000050_14_86,IU_PDA_T1,14,86,0.1680498272180557,0.0042637130245566,0.4591086506843567,-2.1344415145852764,-1.8429656307342808,-0.38482943177223206,-0.3607316017150879,-0.35780817323497366,-0.3047056325844356,bridge128
IU_PDA_T1_patch-000051_26_94,IU_PDA_T1,26,94,0.110884353518486,1.8865146557800472e-05,0.5746331810951233,-1.0364033633529657,-0.989570777860845,0.059600841253995895,0.05205414444208145,0.45327180890100344,0.03594467682497842,bridge128
IU_PDA_T1_patch-000052_35_115,IU_PDA_T1,35,115,0.1025506258010864,2.0092071281396784e-05,0.6239877939224243,0.879954057340406,1.024521828744021,0.4240708649158478,0.05075468868017197,0.3201601750084332,0.1393590952668871,bridge128
IU_PDA_T1_patch-000054_5_19,IU_PDA_T1,5,19,0.0208908189088106,8.773266017669812e-06,0.8105875253677368,0.4455474618054422,-0.0876278185552435,0.6558533310890198,0.056408531963825226,0.5377533907691637,0.12456736713647842,bridge128
IU_PDA_T1_patch-000055_6_90,IU_PDA_T1,6,90,0.034888632595539,2.9411021387204528e-05,0.6305657625198364,-1.2798355682234095,-1.489049597106414,0.4054107069969177,0.25854015350341797,0.413346318261964,0.30220904094832285,bridge128
IU_PDA_T1_patch-000057_28_42,IU_PDA_T1,28,42,2.776645305857528e-05,0.0023563823197036,0.7229999303817749,1.3373663961010511,1.1691471444169417,0.5161141157150269,0.01786453276872635,0.6321759053639003,0.1462494901248387,bridge128
IU_PDA_T1_patch-000058_61_37,IU_PDA_T1,61,37,0.0108084389939904,1.143169265560573e-05,0.7618246674537659,2.2830513332440003,2.130596877151096,0.21879880130290985,0.06591332703828812,0.20426669965187708,0.09065809845924377,bridge128
IU_PDA_T1_patch-000060_51_93,IU_PDA_T1,51,93,0.0902450233697891,2.879864587157499e-05,0.7760840654373169,-0.3002163545513466,-0.7767239716951885,0.6958356499671936,-0.04652755707502365,0.4621808645980699,0.021130321281296865,bridge128
IU_PDA_T1_patch-000061_9_65,IU_PDA_T1,9,65,0.0436965338885784,1.4092222954786848e-05,0.718072772026062,-0.1649455391323978,-0.483784940573619,0.04899768903851509,-0.29294416308403015,0.1763213032058307,-0.05022726420845304,bridge128
IU_PDA_T1_patch-000063_6_34,IU_PDA_T1,6,34,0.0054855765774846,0.0034707102458924,0.4428935945034027,0.6223460090069481,1.2052568734454858,0.4185606837272644,0.46203169226646423,0.34720502474478315,0.23734340071678162,bridge128
IU_PDA_T1_patch-000065_15_67,IU_PDA_T1,15,67,0.0235872492194175,2.933569521701429e-05,0.4851000905036926,-1.8670469131800884,-1.725008187417508,-0.08048757165670395,-0.48648160696029663,-0.16069117188453674,-0.13361714141709463,bridge128
IU_PDA_T1_patch-000067_49_113,IU_PDA_T1,49,113,0.1503708809614181,0.0005090836784802,0.6067385673522949,-1.221829780010537,-1.266676524147387,0.3903910517692566,0.2407418042421341,0.2734253741800785,0.2684856876730919,bridge128
IU_PDA_T1_patch-000068_27_99,IU_PDA_T1,27,99,0.2214040756225586,0.0004537309578154,0.5893976092338562,1.686510848225908,2.128725325892347,0.6955176591873169,0.32950401306152344,0.6219361892768315,0.19196261039802007,bridge128
IU_PDA_T1_patch-000069_17_113,IU_PDA_T1,17,113,0.2694464027881622,3.239089346607216e-05,0.5015195608139038,-2.214686093014954,-1.9863339376740885,0.149534210562706,-0.23102165758609772,0.05528697531138148,-0.09306166427476066,bridge128
IU_PDA_T1_patch-000070_67_23,IU_PDA_T1,67,23,2.083328399749007e-05,2.083328763546888e-05,0.822501540184021,1.7546723366304433,1.3425390093972158,0.08484809845685959,-0.2471442073583603,-0.02624345508714517,-0.17930605759223303,bridge128
IU_PDA_T1_patch-000071_3_17,IU_PDA_T1,3,17,1.948183125932701e-05,1.948183125932701e-05,0.8545044660568237,2.202224959651724,1.7528604210199794,0.44551771879196167,-0.06759067624807358,0.49143943190574646,-2.33333557844162e-05,bridge128
IU_PDA_T1_patch-000072_64_52,IU_PDA_T1,64,52,0.0189646705985069,2.0485478671616875e-05,0.7394804954528809,0.528453056579169,0.2182989058017542,0.4672151803970337,0.11093933135271072,0.34205170680901836,0.07594979660851615,bridge128
IU_PDA_T1_patch-000073_36_24,IU_PDA_T1,36,24,2.0715888240374625e-05,2.071588642138522e-05,0.9208614826202391,0.271547930030018,-0.6310660288855915,0.18783603608608246,0.04384780675172806,0.14719465002417564,0.03636535753806432,bridge128
IU_PDA_T1_patch-000074_6_92,IU_PDA_T1,6,92,0.1546384394168853,2.959854100481607e-05,0.5251807570457458,0.4766390840573414,0.9032920282240436,0.513011634349823,0.5511432886123657,0.3580723543252264,0.3161056414246559,bridge128
IU_PDA_T1_patch-000075_65_11,IU_PDA_T1,65,11,0.028217552229762,3.874076719512232e-05,0.7338905930519104,-0.2113118195590361,-0.5951696406525472,-0.07136220484972,-0.04574630409479141,0.13107042262951532,-0.09119726965824763,bridge128
IU_PDA_T1_patch-000076_14_30,IU_PDA_T1,14,30,0.0288930982351303,1.4131172974884976e-05,0.8512197136878967,0.994577316101708,0.4175099489385481,0.2426164597272873,-0.22181002795696259,0.45259077314819607,-0.10176568904093333,bridge128
IU_PDA_T1_patch-000077_15_39,IU_PDA_T1,15,39,0.0120573220774531,1.2904403774882668e-05,0.8732520341873169,1.5654156318877868,0.9848595253304052,0.4946357011795044,0.16597117483615875,0.5494816984449115,-0.009793441210474287,bridge128
IU_PDA_T1_patch-000079_67_43,IU_PDA_T1,67,43,0.0304397717118263,4.14536552852951e-05,0.6076744198799133,-0.2421618386899295,-0.2494092300278974,0.3869015574455261,0.09618330746889114,0.3009515851736069,0.03602479249238968,bridge128
IU_PDA_T1_patch-000080_75_59,IU_PDA_T1,75,59,0.0333478823304176,1.2376125596347263e-05,0.7014394998550415,1.4507136533234195,1.3867294311382603,0.2793765664100647,0.09268272668123245,0.3675566485949925,0.11230418724673134,bridge128
IU_PDA_T1_patch-000081_40_96,IU_PDA_T1,40,96,0.1237533241510391,2.065601984213572e-05,0.7431374192237854,-1.7969708078938478,-2.346719105767321,0.48623138666152954,-0.05932045727968216,0.48321532777377535,0.052361407450267246,bridge128
