model,variant,raw_rho,resid_rho,resid_r2,vg_R1_excl,mean_val,mean_val_pt,mean_val_hm
CONCH V1,A,0.22975972068949316,0.0776404938569013,-0.006389575463533581,0.0012615525726384174,6.006550641066995,6.071943834737384,5.875764253726218
CONCH V1,B,0.2115211186994218,0.061528559485553025,-0.01482172031199891,0.0008038149680942297,6.204301810912253,6.372860912031004,5.867183608674752
CONCH V1.5,A,0.23027661945165778,0.06360318702030023,-0.021369276751594474,0.0010802757557636748,6.025185883988979,6.0821858554453945,5.911185941076147
CONCH V1.5,B,0.24557060031719197,0.07754929046579107,-0.009309510005457766,0.0011048120407698054,6.225610868931081,6.379739087658092,5.91735443147706
UNI2-h,A,0.2808105723859414,0.07708846370623676,-0.021039658345151535,0.0022303754813037813,5.92167760786715,5.996092867406195,5.772847088789061
UNI2-h,B,0.2235792751651328,0.03022180686959174,-0.05047585641471042,0.0028189094155095518,6.107278211137463,6.278823308822252,5.7641880157678855
H-Optimus-1,A,0.2936781845524144,0.06795703667616527,-0.02965123303709255,0.0020408466613541045,5.912375333573418,5.985040481607785,5.767045037504679
H-Optimus-1,B,0.29771156653585024,0.06871807279731848,-0.013033672282746489,0.002287921243502448,6.116142631285709,6.288710436834886,5.771007020187353
