sample,hepatocyte_frac,tumor_frac
IU_PDA_HM11,0.04304724186658859,0.1409813016653061
IU_PDA_HM11,0.07375170290470123,0.2505614161491394
IU_PDA_HM11,0.023146450519561768,0.42026928067207336
IU_PDA_HM11,0.06278995424509048,0.16037997603416443
IU_PDA_HM11,0.030125286430120468,0.11862892657518387
IU_PDA_HM11,0.002950936323031783,0.16138345003128052
IU_PDA_HM11,0.09568177163600922,0.24246376752853394
IU_PDA_HM11,0.03919876366853714,0.2606053948402405
IU_PDA_HM11,0.04837535694241524,0.28091034293174744
IU_PDA_HM11,0.06259572505950928,0.33767685294151306
IU_PDA_HM11,0.021976033225655556,0.4339999258518219
IU_PDA_HM11,0.013953053392469883,0.17724347114562988
IU_PDA_HM11,0.20721787214279175,0.2630949914455414
IU_PDA_HM11,0.05047459155321121,0.475605845451355
IU_PDA_HM11,0.018593279644846916,0.21847224235534668
IU_PDA_HM11,0.5625893473625183,0.02159073017537594
IU_PDA_HM11,0.04278717190027237,0.29464104771614075
IU_PDA_HM11,0.001788485562428832,0.20012152194976807
IU_PDA_HM11,0.5538731217384338,0.0722556859254837
IU_PDA_HM11,0.007871706038713455,0.4815393388271332
IU_PDA_HM11,0.23305371403694153,0.22770480811595917
IU_PDA_HM11,0.019811436533927917,0.2509649395942688
IU_PDA_HM11,0.1500115543603897,0.2656266689300537
IU_PDA_HM11,0.03175676241517067,0.23760725557804108
IU_PDA_HM11,0.013310645706951618,0.3872078061103821
IU_PDA_HM11,0.59878009557724,0.09580367058515549
IU_PDA_HM11,0.068944051861763,0.21106980741024017
IU_PDA_HM11,0.0036462710704654455,0.2774353325366974
IU_PDA_HM11,0.007452881895005703,0.4311007857322693
IU_PDA_HM11,0.016231438145041466,0.4309830367565155
IU_PDA_HM11,0.7469272017478943,0.030388962477445602
IU_PDA_HM11,0.08229187875986099,0.21486890316009521
IU_PDA_HM11,0.027647292241454124,0.3405034840106964
IU_PDA_HM11,0.004555963911116123,0.46419650316238403
IU_PDA_HM11,0.2620057463645935,0.22173906862735748
IU_PDA_HM11,0.1737177073955536,0.17710722982883453
IU_PDA_HM11,0.05229988321661949,0.32207152247428894
IU_PDA_HM11,0.05577738955616951,0.24239569902420044
IU_PDA_HM11,0.005520326551049948,0.08937448263168335
IU_PDA_HM11,0.12735170125961304,0.20139490067958832
IU_PDA_HM11,0.027440324425697327,0.3150373101234436
IU_PDA_HM11,0.1914682388305664,0.17628487944602966
IU_PDA_HM11,0.025594282895326614,0.16279681026935577
IU_PDA_HM11,0.04583246633410454,0.5175929665565491
IU_PDA_HM11,0.007583381608128548,0.510440468788147
IU_PDA_HM11,0.10676905512809753,0.18783314526081085
IU_PDA_HM11,0.004779207985848188,0.42944350838661194
IU_PDA_HM11,0.5229184031486511,0.04968643561005592
IU_PDA_HM11,0.026943637058138847,0.2513447701931
IU_PDA_HM11,0.0436435230076313,0.3007758855819702
IU_PDA_HM11,0.02403414621949196,0.38526004552841187
IU_PDA_HM11,0.0060830144211649895,0.23042798042297363
IU_PDA_HM11,0.005165219772607088,0.03857557848095894
IU_PDA_HM11,0.05288848280906677,0.2452196180820465
IU_PDA_HM11,0.06120346114039421,0.23931321501731873
IU_PDA_HM11,0.04095955565571785,0.3050564229488373
IU_PDA_HM11,0.532045304775238,0.10271740704774857
IU_PDA_HM11,0.0335223451256752,0.3364286422729492
IU_PDA_HM11,0.1192290410399437,0.21371585130691528
IU_PDA_HM11,0.01431518979370594,0.3618513345718384
IU_PDA_HM11,0.7235792279243469,0.05261930450797081
IU_PDA_HM11,0.04278478026390076,0.33232101798057556
IU_PDA_HM11,0.016666369512677193,0.1485302746295929
IU_PDA_HM11,0.03435518592596054,0.43913954496383667
IU_PDA_HM11,0.021334001794457436,0.36553823947906494
IU_PDA_HM11,0.01754850149154663,0.3969596326351166
IU_PDA_HM11,0.35485920310020447,0.1951354295015335
IU_PDA_HM11,0.05587523430585861,0.2496010810136795
IU_PDA_HM11,0.06985621899366379,0.34314942359924316
IU_PDA_HM11,0.20525117218494415,0.2638159990310669
IU_PDA_HM11,0.0038393617141991854,0.16936543583869934
IU_PDA_HM11,0.10643763095140457,0.2414991557598114
IU_PDA_HM11,0.15892329812049866,0.23632004857063293
IU_PDA_HM11,0.07777228951454163,0.3126840591430664
IU_PDA_HM11,0.018885260447859764,0.31532782316207886
IU_PDA_HM11,0.031158706173300743,0.3358370065689087
IU_PDA_HM11,0.003251362591981888,0.24444307386875153
IU_PDA_HM11,0.15597902238368988,0.17299197614192963
IU_PDA_HM11,0.002669981913641095,0.48864060640335083
IU_PDA_HM11,0.0723726823925972,0.18266502022743225
IU_PDA_HM11,0.005650932434946299,0.26183509826660156
IU_PDA_HM11,0.02175341360270977,0.2461429089307785
IU_PDA_HM11,0.02402684837579727,0.19485504925251007
IU_PDA_HM11,0.010454179719090462,0.3782958686351776
IU_PDA_HM11,0.07901450246572495,0.15595774352550507
IU_PDA_HM11,0.019028354436159134,0.3096734285354614
IU_PDA_HM11,0.03332848474383354,0.4021316468715668
IU_PDA_HM11,0.6007299423217773,0.07284750044345856
IU_PDA_HM11,0.023304631933569908,0.391301691532135
IU_PDA_HM11,0.014418397098779678,0.22909416258335114
IU_PDA_HM11,0.004704946186393499,0.41565588116645813
IU_PDA_HM11,0.0009616394527256489,0.22868695855140686
IU_PDA_HM11,0.011547558009624481,0.2591162621974945
IU_PDA_HM11,0.03609900176525116,0.14974074065685272
IU_PDA_HM11,0.019035257399082184,0.2732738256454468
IU_PDA_HM11,0.040223438292741776,0.2824036478996277
IU_PDA_HM11,0.02964557707309723,0.5421913266181946
IU_PDA_HM11,0.22835272550582886,0.16262100636959076
IU_PDA_HM11,0.0022771868389099836,0.3272189497947693
IU_PDA_HM11,0.5256842374801636,0.06073598563671112
IU_PDA_HM11,0.01956714689731598,0.24318450689315796
IU_PDA_HM11,0.01588376797735691,0.19358089566230774
IU_PDA_HM11,0.50114506483078,0.0477156862616539
IU_PDA_HM11,0.5227641463279724,0.05104103311896324
IU_PDA_HM11,0.062258072197437286,0.26417291164398193
IU_PDA_HM11,0.013006827794015408,0.35862427949905396
IU_PDA_HM11,0.029628001153469086,0.17666739225387573
IU_PDA_HM11,0.06575709581375122,0.45312875509262085
IU_PDA_HM11,0.16594326496124268,0.2063366174697876
IU_PDA_HM11,0.044568005949258804,0.26190072298049927
IU_PDA_HM11,0.02579771913588047,0.38557833433151245
IU_PDA_HM11,0.2648049294948578,0.1890656054019928
IU_PDA_HM11,0.02746354043483734,0.23724617063999176
IU_PDA_HM11,0.019373441115021706,0.48833855986595154
IU_PDA_HM11,0.7824680209159851,0.048779137432575226
IU_PDA_HM11,0.39278915524482727,0.10464435070753098
IU_PDA_HM11,0.6447988152503967,0.07867565751075745
IU_PDA_HM11,0.7554938793182373,0.02537139505147934
IU_PDA_HM11,0.0636020228266716,0.12374188005924225
IU_PDA_HM11,0.15746673941612244,0.21591278910636902
IU_PDA_HM11,0.2881323993206024,0.20378077030181885
IU_PDA_HM11,0.46202534437179565,0.1028779000043869
IU_PDA_HM11,0.1495785117149353,0.23779195547103882
IU_PDA_HM11,0.002749059349298477,0.31629204750061035
IU_PDA_HM11,0.006743141915649176,0.26688677072525024
IU_PDA_HM11,0.5594789385795593,0.07909286767244339
IU_PDA_HM11,0.03206247463822365,0.2432767152786255
IU_PDA_HM11,0.07797916978597641,0.33455097675323486
IU_PDA_HM11,0.0143910963088274,0.1600250005722046
IU_PDA_HM11,0.1844516545534134,0.10123980790376663
IU_PDA_HM11,0.00994268897920847,0.3160380721092224
IU_PDA_HM11,0.010300050489604473,0.20870579779148102
IU_PDA_HM11,0.02159731090068817,0.4137779176235199
IU_PDA_HM11,0.023963898420333862,0.36170002818107605
IU_PDA_HM11,0.0028102993965148926,0.28834474086761475
IU_PDA_HM11,0.06139528751373291,0.251616895198822
IU_PDA_HM11,0.016483990475535393,0.30618178844451904
IU_PDA_HM11,0.1750468611717224,0.15426258742809296
IU_PDA_HM11,0.10154899954795837,0.1636657416820526
IU_PDA_HM11,0.008510716259479523,0.15046335756778717
IU_PDA_HM11,0.006444928236305714,0.19610856473445892
IU_PDA_HM11,0.021719470620155334,0.4681370258331299
IU_PDA_HM11,0.01889926753938198,0.3364131450653076
IU_PDA_HM11,0.031073033809661865,0.23968662321567535
IU_PDA_HM11,0.019247908145189285,0.3632493317127228
IU_PDA_HM11,0.013576224446296692,0.2072908580303192
IU_PDA_HM11,0.15637089312076569,0.1795807033777237
IU_PDA_HM11,0.01985855959355831,0.521089494228363
IU_PDA_HM11,0.03363550081849098,0.15611635148525238
IU_PDA_HM11,0.3512418568134308,0.11086183041334152
IU_PDA_HM11,0.023248495534062386,0.15970022976398468
IU_PDA_HM11,0.019309034571051598,0.40087437629699707
IU_PDA_HM11,0.04763137549161911,0.3402520418167114
IU_PDA_HM11,0.025885289534926414,0.3111307919025421
IU_PDA_HM11,0.5259490609169006,0.04225706309080124
IU_PDA_HM11,0.013646948151290417,0.37442657351493835
IU_PDA_HM11,0.04530160501599312,0.20719973742961884
IU_PDA_HM11,0.20817792415618896,0.2013777792453766
IU_PDA_HM11,0.04827282950282097,0.18671414256095886
IU_PDA_HM11,0.05748423933982849,0.28169986605644226
IU_PDA_HM11,0.08124037086963654,0.16577306389808655
IU_PDA_HM11,0.8450964689254761,0.02206573449075222
IU_PDA_HM11,0.05893174931406975,0.20288370549678802
IU_PDA_HM11,0.004422214813530445,0.10376399755477905
IU_PDA_HM11,0.7611729502677917,0.027815217152237892
IU_PDA_HM11,0.0851244330406189,0.273123562335968
IU_PDA_HM11,0.07750062644481659,0.317231148481369
IU_PDA_HM11,0.011706099845468998,0.266572505235672
IU_PDA_HM11,0.03095366433262825,0.25475645065307617
IU_PDA_HM11,0.036971524357795715,0.2639034390449524
IU_PDA_HM11,0.04267733916640282,0.3775199353694916
IU_PDA_HM11,0.20319733023643494,0.13407588005065918
IU_PDA_HM11,0.006850974168628454,0.35616862773895264
IU_PDA_HM11,0.09366615116596222,0.310746967792511
IU_PDA_HM11,0.04227278381586075,0.38793542981147766
IU_PDA_HM11,0.5275890231132507,0.09718237072229385
IU_PDA_HM11,0.039292410016059875,0.257838636636734
IU_PDA_HM11,0.7863991260528564,0.021746160462498665
IU_PDA_HM11,0.005577547010034323,0.1710611879825592
IU_PDA_HM11,0.19252921640872955,0.18342962861061096
IU_PDA_HM11,0.023344362154603004,0.46612274646759033
IU_PDA_HM11,0.07898244261741638,0.46262699365615845
IU_PDA_HM11,0.008965153247117996,0.19574590027332306
IU_PDA_HM11,0.010234011337161064,0.4040517807006836
IU_PDA_HM11,0.6557602882385254,0.03903418406844139
IU_PDA_HM11,0.09775935858488083,0.21456018090248108
IU_PDA_HM11,0.06932517886161804,0.19626234471797943
IU_PDA_HM11,0.11800964921712875,0.29666465520858765
IU_PDA_HM11,0.015907607972621918,0.25063711404800415
IU_PDA_HM11,0.03736693784594536,0.46745172142982483
IU_PDA_HM11,0.015816016122698784,0.35377293825149536
IU_PDA_HM11,0.005227737594395876,0.3786758482456207
IU_PDA_HM11,0.011098497547209263,0.30030357837677
IU_PDA_HM11,0.17914974689483643,0.1830148696899414
IU_PDA_HM11,0.06777983158826828,0.22093930840492249
IU_PDA_HM11,0.44697457551956177,0.1026882603764534
IU_PDA_HM11,0.01670016534626484,0.32186728715896606
IU_PDA_HM11,0.02222781628370285,0.27786964178085327
IU_PDA_HM11,0.07918904721736908,0.2313430905342102
IU_PDA_HM11,0.2173815220594406,0.1798526793718338
IU_PDA_HM11,0.030141090974211693,0.3535546064376831
IU_PDA_HM11,0.009155062958598137,0.2310502827167511
IU_PDA_HM11,0.03632526472210884,0.3278513252735138
IU_PDA_HM11,0.02615581452846527,0.23240748047828674
IU_PDA_HM11,0.10204758495092392,0.21538399159908295
IU_PDA_HM11,0.6566628813743591,0.08112183213233948
IU_PDA_HM11,0.009880154393613338,0.2486385852098465
IU_PDA_HM11,0.007212310563772917,0.34795549511909485
IU_PDA_HM11,0.030544063076376915,0.3836117386817932
IU_PDA_HM11,0.7022324800491333,0.03653823211789131
IU_PDA_HM11,0.6703169345855713,0.07543104887008667
IU_PDA_HM11,0.18711239099502563,0.2204063981771469
IU_PDA_HM11,0.04198189079761505,0.37197503447532654
IU_PDA_HM11,0.011824036948382854,0.33549195528030396
IU_PDA_HM11,0.29830726981163025,0.11224813759326935
IU_PDA_HM11,0.019859669730067253,0.2636224031448364
IU_PDA_HM11,0.0112473638728261,0.3124907314777374
IU_PDA_HM11,0.028579123318195343,0.34236663579940796
IU_PDA_HM11,0.012969682924449444,0.4093523323535919
IU_PDA_HM11,0.017602935433387756,0.18363192677497864
IU_PDA_HM11,0.010274447500705719,0.17885175347328186
IU_PDA_HM11,0.16241951286792755,0.261881023645401
IU_PDA_HM11,0.004697597119957209,0.1600368469953537
IU_PDA_HM11,0.007780445273965597,0.2578979432582855
IU_PDA_HM11,0.016373401507735252,0.27064603567123413
IU_PDA_HM11,0.015529884025454521,0.25671932101249695
IU_PDA_HM11,0.15654948353767395,0.242399200797081
IU_PDA_HM11,0.39875391125679016,0.08693887293338776
IU_PDA_HM11,0.013145103119313717,0.3026123642921448
IU_PDA_HM11,0.023526491597294807,0.1714862734079361
IU_PDA_HM11,0.11563423275947571,0.21363765001296997
IU_PDA_HM11,0.0016560525400564075,0.16382549703121185
IU_PDA_HM11,0.036094896495342255,0.20271329581737518
IU_PDA_HM11,0.04183536395430565,0.18827149271965027
IU_PDA_HM11,0.0169548150151968,0.3980182111263275
IU_PDA_HM11,0.015704365447163582,0.24950526654720306
IU_PDA_HM11,0.5796170234680176,0.12008624523878098
IU_PDA_HM11,0.2923566699028015,0.22561804950237274
IU_PDA_HM11,0.03955143317580223,0.2674270272254944
IU_PDA_HM11,0.12915143370628357,0.23517940938472748
