sample,patient,site,Angiogenesis,Bcells,Cancer-associated-fibroblasts,Checkpoint-molecules,Co-stimulatory-ligands,Co-stimulatory-receptors,ECM,Effector-cell-traffic,Effector-cells,Endothelium,Granulocyte-traffic,Immune-Suppression-by-Myeloid-cells,M1-signature,MHCI,Macrophage-and-DC-traffic,Matrix-remodeling,Myeloid-cells-traffic,NK-cells,Neutrophil-signature,Protumor-cytokines,Tcells,Th1-signature,Th2-signature,Treg,Treg-and-Th2-traffic,Tumor-associated-Macrophages,Tumor-proliferation-rate,rctd::B cells,rctd::C1Q-TAM,rctd::CD4+ cells,rctd::CD8-NK cells,rctd::DCs,rctd::Endothelial cells,rctd::FCN1-TAM,rctd::Hepatocytes,rctd::iCAF,rctd::myCAF,rctd::Normal Epithelial cells,rctd::Proliferative T cells,rctd::PVL,rctd::SPP1-TAM,rctd::Tumor Epithelial cells
IU_PDA_T1,PT_1,T,2105.9948706595283,-281.82428679168225,5267.33342787932,2007.1442558638723,739.9369691456372,3671.028261949605,4717.03432795386,1085.1516503797886,3059.313398590403,2474.970325087773,-1411.0881084833438,1869.594812351548,-592.719297335381,4867.802970545076,654.1356360921629,618.4728031008394,1332.162183618541,-243.13070597087233,-4817.902744795166,1952.5622910567347,1538.937889359969,-1310.8129010703474,-1764.1567671064404,3005.0171523857202,286.106287886913,1244.8883735178265,454.03114346516554,0.010982294726813465,0.026565948855740484,0.01059658708442172,0.0019955019427076765,0.0480490032860763,0.0034813461679062407,0.0034310908793377254,0.00044613341376851086,0.0213284306212602,0.26323717558072024,2.7783871808804295e-05,0.0015384729690411563,0.005406396083428511,0.0043884045891176655,0.5985254299278512
IU_PDA_T2,PT_2,T,2321.1254906803374,-233.29429298491638,5056.975078174816,2022.344793260204,690.7894895683165,3605.018438301937,5059.735977806462,912.1875134856394,3106.567421396387,2287.765929729189,-1534.4213062911879,1942.9538580846436,-602.9660292311239,4727.573740583582,720.4238292828173,827.3426472438435,1241.0594626430432,-236.98311284393367,-4773.544218370409,2487.6289953214246,1687.59934852288,-1308.1594219380377,-1725.4409029640344,3101.0108073072943,94.96265233754553,1359.2295228816463,797.2890886622232,0.01928776420069889,0.01130325322050797,0.0083037887192844,0.0008310800645628394,0.0055199815076734365,0.0014617405277465374,0.005384014321365955,0.001984944070105356,0.0013892660357163536,0.2769812216164829,3.622900747995343e-05,0.021324873744817462,0.0021598488474628965,0.047381791619224484,0.5966502024968705
IU_PDA_T3,PT_3,T,2391.0501941047582,-406.98485485142083,5439.184879313695,1827.777592785273,982.5596893485758,3449.5474878373134,5338.7648417013515,862.04330126404,2782.3379069478733,2376.6071994499684,-1238.0861329491202,2004.7920527601827,-370.7804838579599,5096.363849053742,692.1130754799592,651.2155073514551,1508.0034512767238,-468.04645984889333,-4802.901338862721,2314.1058384602084,1358.427240002675,-1474.691581675661,-1875.5366361966976,2874.1573239289987,6.698114171780271,1317.3881812875288,1200.1863904996706,0.023739109675130838,0.004673822295141294,0.002224890885158411,0.00019690626794104994,0.011467045664261735,0.000930438848257511,0.01410244633939098,0.00014933041164071808,0.0010505609687243573,0.20320264482064063,2.7307213004059006e-05,0.031113306249840905,0.0011054607531896736,0.04987639488577572,0.6561403347219021
IU_PDA_T4,PT_4,T,2117.300124411843,-210.80692253838785,4704.004175217763,2088.1157195634373,1488.2851683471695,3607.7389352845876,5151.424147281099,1170.352076847505,3182.4592260931395,2110.4472990817103,-1447.811520344678,2128.022112881571,-476.0071182409111,4857.463493114677,732.0455666600653,533.1261385276061,1371.0900400210362,-175.26256269732542,-4744.381531498191,2490.940056389331,1467.405218252098,-1296.720571133555,-1708.7972074399433,3091.632006931654,72.8762780314794,1379.236628898395,1410.825660311763,0.00320327284675219,0.003987242845172599,0.011005124850148684,0.0009313706120949555,0.013353616567439905,0.0008952546508802594,0.01674407405116238,0.000509262161955033,0.00039183168375206195,0.23553478826740398,3.849602935795975e-05,0.03864785031466706,0.009304680843449192,0.05108214596125541,0.6143709883145083
IU_PDA_T6,PT_6,T,2518.072021416153,-787.0894314528701,5586.513252744397,1390.9239549262445,169.21639813716206,2644.837707174964,5435.615156342244,763.2659963844104,2273.5485134793603,1917.0840772911413,-579.8505898466268,1463.0938712622215,-811.3853267946012,4924.8139699285675,431.69813621270004,2682.816164719267,1435.2117321826272,-751.5328548738731,-4932.197946674106,2151.92802770172,746.5233613720488,-1695.6841516365514,-2158.409229579131,2262.5180429077354,-436.3800029956799,977.3098465437341,953.1427980210564,0.0003886143607648326,0.003491455390087771,0.0012478001215152398,0.0002299615085810887,0.0007005125496659721,0.001989385378791407,0.004515918346306665,0.0009822795039922095,0.00033101351512256023,0.2773877189534421,0.0006775186021717785,0.022086072721262087,0.0027898121692427258,0.02250097306030657,0.6606809638187471
IU_PDA_T8,PT_8,T,2371.9412621468155,-147.0652277395294,3816.785063018881,2136.2546830016813,790.8007484429623,3638.702029887223,4393.003501422961,1049.1129298812168,3206.6945528173433,2465.6204415225075,-1146.7153461289906,2107.1453270878696,-365.51764856984465,4441.475506806501,761.9997566135653,112.1924645033629,1546.2917710690258,-183.29769830305298,-4727.894258256543,1713.6796809623363,1524.5329230176328,-1245.4929757808018,-1674.1912836737547,3171.9076388515477,245.20107904927468,1674.813483487227,1158.4782735608403,0.043348104132731595,0.014816252239824088,0.002745300002924791,0.00045676916854954763,0.0035625386385904384,0.002654624984430686,0.008216553756721616,0.002930343262322555,0.01104647657630513,0.1123394377313807,4.459430554088859e-05,0.03100904493376484,0.004320188298932441,0.05717721130426293,0.7053325606637177
IU_PDA_T9,PT_9,T,2175.1965270317305,-724.762006654478,5905.612118734296,1524.2285740826653,184.39080912442904,3373.1092920888486,5380.17522878459,882.5882841387236,2396.5817779731524,1835.6865658565032,-1314.3252050539481,1808.6559461677716,-554.0850456661294,4661.056590281958,292.82139670626697,1322.6184604017428,1401.6742034693166,-712.9181382155097,-4933.759841576968,2353.101170195935,1197.2706081532924,-1598.4929880191369,-2079.6896459925238,2503.7470500164904,-284.7657684981829,662.8812403363536,1041.1359991131162,0.0005161142700431444,0.007271683250673353,0.0050452453435546555,0.0007834639614954992,0.0064355930075846255,0.002057392474964391,0.008237572452777207,0.000915949825958724,0.007344286986113331,0.3065440846828154,4.39869841048223e-05,0.0448234142914337,0.001312375665551461,0.010366406067017924,0.5983024307359117
IU_PDA_T10,PT_10,T,2685.552701602251,-86.78709730428997,3630.6907192232165,2420.7826316252626,1054.563733060971,3952.509957277143,4238.484483074753,1964.36088361982,3525.812995800583,2651.9414409712044,-890.5307810793299,2345.6836389230884,-105.16077409321454,5611.808032830434,921.1239124536735,-292.2923941294618,1785.5444796639201,96.25551091778145,-4697.62214870774,1349.239562040455,1994.9996867877514,-1133.1900765700975,-1596.847934781407,3341.8535691757334,174.10756292856698,1582.2808210354895,943.131697377027,0.04765558559689038,0.0405818406615152,0.015132714408339269,0.009633213371577161,0.02809822926059603,0.006519809917756942,0.010862344306676474,0.00047731328452593877,0.014845872131996878,0.10466020350369032,1.9508491370743194e-05,0.023779462619145892,0.011079006135764766,0.020775909749701133,0.6658789865604529
IU_PDA_T11,PT_11,T,2357.5849189648925,-677.6137213943342,5781.76806931417,1525.8139130368302,362.1770569800215,3228.116151100468,5530.13818703064,368.28526781239475,2433.432495941895,2208.540355775577,-1511.7953945934614,1462.053676140787,-800.9676829390396,5044.123009317312,199.7812539844724,1790.6845366376713,967.2083990434611,-653.6278440060747,-4880.617246151356,1793.7901047993998,988.0773783070742,-1616.4182494563488,-2028.6996319556831,2609.5142091023345,-148.7473418652556,1177.6675547640666,629.8065962454108,0.0005462837837214695,0.01617826127670453,0.002464752218952474,0.00034634236627056544,0.004616387684013428,0.005023856893522617,0.003621838832705846,0.0002661214971656297,9.861460821512657e-05,0.303054385719373,2.9653547453532846e-05,0.010742886552222216,0.005892421242556813,0.012656619673328541,0.6344615741037941
IU_PDA_T12,PT_12,T,2408.5287553584726,-1510.0649039278992,5997.956286737433,736.1427327317103,-528.7829147556306,2393.912215771813,5778.8160145086395,-22.522116067740185,908.3065486595876,1806.024589678641,-1277.1110728015349,720.894580323468,-1224.0890309914319,4688.802263968872,-170.7866477999608,2076.3862567258943,1325.7441612788489,-1523.25077015712,-5075.8079594314495,1994.3428933523417,212.08217443700235,-2328.9498672972204,-2858.55060052389,1166.877497310518,-610.4818823777815,1685.467105157924,-215.6412614201192,0.02041920071652165,0.04572800074441401,0.0009117158635481528,0.0005007876269086804,0.00909419023709396,0.0029657793763553466,0.00523704431585935,0.00048426044063519264,0.002154587460224233,0.24504049347044984,0.002648578246704069,0.0016044953397597757,0.001457913235059056,0.013154299175234719,0.6485986537512319
