patch_stem,sample,row,col,tumor_frac,hepatocyte_frac,caf_frac,leaving_score,leaving_score_resid,pred_raw,pred_resid,pred_raw_smooth,pred_resid_smooth,predictor
IU_PDA_T1_patch-000001_50_102,IU_PDA_T1,50,102,0.4357175827026367,0.0006946708890609,0.0874411910772323,-1.406785413251811,-1.1276803246348124,0.4085828959941864,0.056008122861385345,0.27366706303187777,0.07770187194858279,bridge128
IU_PDA_T1_patch-000002_59_19,IU_PDA_T1,59,19,0.5314717888832092,2.931401104433462e-05,0.0531325228512287,-0.0363762552125827,0.135125182060449,0.3518128991127014,0.13721394538879395,0.0788002721965313,0.10061177052557468,bridge128
IU_PDA_T1_patch-000003_14_94,IU_PDA_T1,14,94,0.206553116440773,0.0021699634380638,0.0378458686172962,-1.0301898350574683,0.1281111805653117,-0.5098931789398193,-0.17625607550144196,-0.24169642960519663,-0.03283919074705669,bridge128
IU_PDA_T1_patch-000005_73_43,IU_PDA_T1,73,43,0.5968945026397705,2.832822428899817e-05,0.0170829072594642,-0.1121322843363542,-0.1862276063440215,0.3505209684371948,-0.01481134444475174,0.34116892303739277,0.07689323063407626,bridge128
IU_PDA_T1_patch-000006_45_115,IU_PDA_T1,45,115,0.466573029756546,4.116146374144592e-05,0.0584740862250328,-0.7676453266019257,-0.4896262029531927,-0.3862680196762085,-0.17314010858535767,0.03618605434894562,0.01573827676475048,bridge128
IU_PDA_T1_patch-000009_65_83,IU_PDA_T1,65,83,0.6691879630088806,0.0005679402966052,8.454127964796498e-05,1.0402251598827863,0.9049043330731106,0.597868800163269,0.1176920160651207,0.5244812965393066,0.06679458277566093,bridge128
IU_PDA_T1_patch-000010_37_19,IU_PDA_T1,37,19,0.5483302474021912,2.8362417651806027e-05,0.0002749641134869,-0.4093519250620795,-0.3612335870544389,0.47972095012664795,0.016036443412303925,0.32805439457297325,0.12979397550225258,bridge128
IU_PDA_T1_patch-000011_6_64,IU_PDA_T1,6,64,0.7506781816482544,2.0594772649928927e-05,0.0181803479790687,-1.0830684284327363,-1.869274773240035,0.4411662817001343,0.06446649879217148,0.47446428665093016,0.009236238896846771,bridge128
IU_PDA_T1_patch-000012_35_79,IU_PDA_T1,35,79,0.4112157821655273,6.054313053027727e-05,0.0226274039596319,-1.1958327047373016,-0.7937043806947071,0.1634371280670166,-0.0283002108335495,0.12461670239766438,-0.05649632836381594,bridge128
IU_PDA_T1_patch-000013_65_91,IU_PDA_T1,65,91,0.7657058238983154,2.4959292204584926e-05,0.0001007500250125,0.6170133136778194,0.0664100988041873,0.4186331331729889,0.011558078229427338,0.5239310903208596,-0.05547273904085159,bridge128
