gene,corr_resid,corr_raw,sign_agreement,in_core,in_heldout,is_epithelial
ABO,-0.010369123,-0.031235911,-2.0,False,False,False
ABR,0.008888379,-0.007867474,0.0,False,False,False
ABRA,-0.010617031,-0.01747511,-2.0,False,False,False
ABRACL,-0.00982918,-0.033430308,0.0,False,False,False
ABRAXAS1,-0.03500881,-0.0440657,-4.0,False,False,False
ABRAXAS2,-0.0051609175,-0.007500696,-2.0,False,False,False
ABT1,-0.0076985005,-0.02068082,0.0,False,False,False
ABTB1,-0.013652034,-0.04523308,-2.0,False,False,False
ABTB2,-0.044293735,-0.11951229,-2.0,False,False,False
AC004593.3,0.0023224412,0.007394809,1.0,False,False,False
AC005551.1,-0.0030352585,-0.007853809,-2.0,False,False,False
AC007906.2,0.008048514,-0.029687285,2.0,False,False,False
AC008397.1,0.0017742012,-0.024710618,-1.0,False,False,False
AC008687.4,-0.0015443582,0.00048735528,0.0,False,False,False
AC010255.3,-0.0071675777,-0.0035660625,-2.0,False,False,False
AC010325.1,0.025888264,0.013679045,4.0,False,False,False
AC011005.1,-0.0146644935,-0.009030174,-3.0,False,False,False
AC011195.2,0.004835493,0.0021151607,1.0,False,False,False
AC013470.2,-0.017907036,-0.01366103,-4.0,False,False,False
AC015802.6,-0.010095894,-0.020729067,-2.0,False,False,False
AC021072.1,0.008039244,0.009098791,2.0,False,False,False
AC021097.2,-0.010752877,-0.02769136,0.0,False,False,False
AC025283.2,-0.01857157,-0.019388806,-2.0,False,False,False
AC025287.4,0.0020405194,-0.0017918437,-1.0,False,False,False
AC048338.2,-0.0041229283,-0.006365878,-2.0,False,False,False
AC055839.2,0.007464166,0.005801361,2.0,False,False,False
AC067752.1,-0.004665595,0.0015241336,1.0,False,False,False
AC072022.2,-0.01396104,-0.01318653,0.0,False,False,False
AC073111.4,-0.008571009,-0.01395624,0.0,False,False,False
AC084121.9,0.0028452333,-0.0009467562,2.0,False,False,False
AC087498.1,0.0,0.0,0.0,False,False,False
AC090360.1,0.0030153086,0.0031912848,2.0,False,False,False
AC091057.6,0.0013871328,0.0012406127,-1.0,False,False,False
AC092835.1,0.008428346,0.01044102,0.0,False,False,False
AC093323.1,0.0012363736,0.00252827,0.0,False,False,False
AC093512.2,-0.011902579,-0.016088886,0.0,False,False,False
AC099489.1,-0.012887586,-0.011677321,-2.0,False,False,False
AC104389.5,-0.0048947614,-0.012768446,-2.0,False,False,False
AC106774.4,-0.0040543894,-0.0036449917,-1.0,False,False,False
AC113348.1,-0.0062217596,-0.001011289,0.0,False,False,False
AC115220.1,-0.0013713045,-0.0016675645,0.0,False,False,False
AC118549.1,-0.016727116,-0.041830517,-4.0,False,False,False
AC119396.1,-0.006928745,-0.04931013,0.0,False,False,False
AC132217.2,0.0012439819,-0.002955678,0.0,False,False,False
AC134684.8,0.0048159817,0.0030767855,1.0,False,False,False
AC135068.1,-0.00032004598,0.0039015189,-1.0,False,False,False
AC138647.1,0.0058496315,0.0013777548,1.0,False,False,False
AC187653.1,-0.006984626,-0.007919433,-1.0,False,False,False
AC233723.1,0.008089971,0.0018729133,0.0,False,False,False
AC236972.4,-0.0018289424,-0.004543435,-1.0,False,False,False
ACAA1,-0.0057080737,-0.038877167,-2.0,False,False,False
ACAA2,0.00851605,0.01244319,2.0,False,False,False
ACACA,-0.02856737,-0.058107954,-4.0,False,False,False
ACACB,-0.02218778,-0.049724963,-2.0,False,False,False
ACAD10,-0.021252867,-0.035336852,-2.0,False,False,False
ACAD11,-0.0057493597,-0.015102808,0.0,False,False,False
ACAD8,-0.022318378,-0.038066298,-4.0,False,False,False
ACAD9,0.0036484469,-0.023784133,2.0,False,False,False
ACADL,0.009986543,0.007030368,4.0,False,False,False
ACADM,-0.028422644,-0.049633693,-4.0,False,False,False
ACADS,-0.0092378,-0.033343513,-2.0,False,False,False
ACADSB,-0.0123435445,-0.025056519,-4.0,False,False,False
ACADVL,-0.016732551,-0.08779221,-2.0,False,False,False
ACAN,0.008522894,0.0004295444,3.0,False,False,False
ACAP1,-0.009329142,-0.02520558,-2.0,False,False,False
ACAP2,-0.0053148726,-0.031162843,0.0,False,False,False
ACAP3,0.0029478394,-0.0032344144,-2.0,False,False,False
ACAT1,-0.031036753,-0.04835667,-2.0,False,False,False
ACAT2,-0.031558543,-0.07768745,-2.0,False,False,False
ACBD3,-0.014635471,-0.023902966,-2.0,False,False,False
ACBD4,-0.008885751,-0.04208559,-2.0,False,False,False
ACBD5,-0.005906417,-0.03462942,0.0,False,False,False
ACBD6,0.00060281716,-0.020311622,0.0,False,False,False
ACBD7,-0.0137823755,-0.02425434,0.0,False,False,False
ACCS,-0.0050767316,-0.020847142,-2.0,False,False,False
ACCSL,0.008501499,-0.00050176354,0.0,False,False,False
ACD,-0.008104194,-0.013985584,-4.0,False,False,False
ACE,-0.0031762398,-0.020491494,2.0,False,False,False
ACE2,-0.010362051,-0.02114058,-4.0,False,False,False
ACER1,-0.009382809,-0.008883828,-2.0,False,False,False
ACER2,-0.020476488,-0.058952034,-2.0,False,False,False
ACER3,0.0005681617,-0.0075548496,0.0,False,False,False
ACHE,-0.018103687,-0.051393017,-4.0,False,False,False
ACIN1,-0.018806638,-0.055100396,0.0,False,False,False
ACKR1,-0.01394121,-0.055543143,-4.0,False,False,False
ACKR2,-0.002381804,-0.009160841,0.0,False,False,False
ACKR3,0.012360398,0.051740855,4.0,False,False,False
ACKR4,0.0018750783,-0.008310682,1.0,False,False,False
ACLY,-0.01527912,-0.039178926,-2.0,False,False,False
ACMSD,-0.0047590747,0.0011087474,-2.0,False,False,False
ACO1,-0.004545414,-0.016566541,0.0,False,False,False
ACO2,-0.014339874,-0.048040092,-2.0,False,False,False
ACOD1,0.0025691756,0.0008689028,0.0,False,False,False
ACOT1,-0.0024938292,-0.009370662,2.0,False,False,False
ACOT11,0.015740898,-0.014167408,2.0,False,False,False
ACOT12,0.007071447,0.0018437132,3.0,False,False,False
ACOT13,-0.011623798,-0.028099861,-2.0,False,False,False
ACOT2,-0.0114412615,-0.018952481,-2.0,False,False,False
ACOT4,0.01680384,0.017314386,4.0,False,False,False
ACOT6,-0.007231552,-0.001917024,0.0,False,False,False
ACOT7,-0.011943237,-0.037453428,-2.0,False,False,False
ACOT8,-0.0115380315,-0.029970955,-2.0,False,False,False
ACOT9,-0.006854981,0.0056816065,0.0,False,False,False
ACOX1,-0.005904832,-0.017145697,0.0,False,False,False
ACOX2,-0.003719524,-0.0020479257,0.0,False,False,False
ACOX3,-0.0013410265,-0.0025466084,0.0,False,False,False
ACOXL,-0.008010113,-0.014306535,-3.0,False,False,False
ACP1,-0.01438239,-0.04650327,-4.0,False,False,False
ACP2,-0.0033116485,-0.0053317635,0.0,False,False,False
ACP4,0.0015936985,0.0007858136,1.0,False,False,False
