feature,shift_HM,shift_LuM,shift_PM,mean_shift,range_across_sites,is_immune
Lung,0.008349267777686208,1.9225896926635693,-0.0001346281747006796,0.6436014440888516,1.92272432083827,False
Endothelial,-0.8526515344535706,0.8049839433146266,0.1389611202229409,0.03043117636133233,1.6576354777681972,False
NK,-0.3740842500044665,1.2267053813195221,-0.20283413058774868,0.21659566690910229,1.6007896313239887,True
Plasma,-0.4933380079639309,0.8532519362482156,-0.4972557092573727,-0.04578059365769601,1.3505076455055884,True
myCAF,-1.0213079403965981,-0.19580859193070396,0.2253055223817751,-0.3306036699818424,1.2466134627783731,False
Hepatocyte,1.0300139167044235,-0.14749494904406282,-0.20344762352197748,0.22635711471279443,1.233461540226401,False
Tcells,-0.43111576879499564,0.7437063263773265,-0.3545677794693423,-0.013992407295670492,1.174822095172322,True
CAF,-0.9099897480469665,-0.2036614909944377,0.24395693456217116,-0.28989810149307765,1.1539466826091376,False
Myeloid,-0.7495655605716466,0.3665169497210541,-0.08351803693521594,-0.1555222159286028,1.1160825102927006,True
Interferon,0.26653964908784344,0.9459812790842616,0.01083014085267447,0.4077836896749265,0.9351511382315871,False
Hypoxia,0.8919682765410232,-0.03829385197614488,0.538277527803558,0.4639839841228121,0.930262128517168,False
EMT,-0.6978618192987596,-0.5158935465002915,0.21826448408818186,-0.331830293903623,0.9161263033869415,False
Proliferation,-0.3014089930277231,0.250349040504106,0.574317523363871,0.1744191902800846,0.8757265163915942,False
Mesothelial,0.20941504575306924,-0.3977660741281562,-0.16286771534607275,-0.11707291457371989,0.6071811198812254,False
Bcells,-0.2422908020384699,0.13069539318412002,-0.44840803823467035,-0.18666781569634008,0.5791034314187904,True
