q_thresh,n_spots,HM_immune,LuM_immune,PM_immune,T_immune,mean_epi
0.0,132335,0.2702287851519057,0.9734225091867087,0.47157863656508353,0.6374837344134759,1.1198484446725547
0.25,99244,0.2490126759633924,0.9083099524332511,0.4574922709558721,0.6044113606708584,1.291085202184579
0.5,66179,0.23076262890994917,0.8428275089134293,0.43892313043746806,0.5644420664123517,1.4426464172399829
0.75,33101,0.20835675534568204,0.7712538853317366,0.3925625658684191,0.5004703816452801,1.6132677659087034
