patient,HM,LuM,PM
Pt10,0.47837733784857145,0.6182583649324237,0.42262209207830276
Pt11,0.7546558496546024,0.7793577094801051,0.40994134910436053
Pt12,0.4565524931150959,0.25641055162028314,0.28115536189519075
Pt13,0.42924579502984367,1.1827102100632652,0.7247831523083328
Pt2,,0.7004057966502761,1.501182664663137
Pt3,0.5382604627946723,,0.27796991973513807
Pt4,-0.04799217304470432,1.519822420734222,0.28401865646923735
Pt6,0.2101746280371939,,0.16379591355103748
Pt7,-0.17947774016931012,,-0.09732331952097145
Pt8,0.20236680151637557,,0.387024027375364
Pt9,0.22957977316620362,,0.358142610859974
