sample,patient,site,Epithelial,Bcells,Tcells,Plasma,Myeloid,NK,CAF,myCAF,Endothelial,Hepatocyte,Lung,Mesothelial,EMT,Proliferation,Hypoxia,Interferon
Pt-10A,Pt10,T,1.5195677662923885,-0.0665562222688907,-0.054319702023385985,0.015704869681122856,0.8263789789392573,-0.05269990925675344,1.5514560545984502,1.8122666892837935,0.2488657389710442,-0.004910757007655322,-0.06846905888002289,0.15450677237588895,0.6122121606780254,-0.03412545675061697,0.6368626017475605,0.6164023078283182
Pt-10B,Pt10,HM,2.3276630082494294,-0.06670149874292165,-0.054857606507216654,0.02152639521447832,0.6239086292123014,-0.04549858132806999,0.5256298277863826,0.5979629747541866,0.028836688407499648,0.30110710051727796,-0.0665219196847463,0.14648893617883982,0.27008456359787636,-0.006764381585198386,0.9448173052995461,0.5225684586785416
Pt-10C,Pt10,LuM,2.271837116661724,-0.07189577451812403,-0.067231376887722,0.028485544949734654,0.7819110630657183,-0.05301109167718324,1.4906605839079627,1.2335102618335811,0.11134277428842697,0.02928724413605296,-0.02782722577441917,0.1673863546297526,0.5525669751394486,0.0036791897196058005,1.1176789485724248,0.6525127139700421
Pt-10D,Pt10,PM,1.9229909411256354,-0.07248453178692997,-0.07264862579835832,0.009628052169534787,0.623194584716615,-0.06506738722255877,1.3084139468716889,0.9413015735722027,0.07233379279752881,0.027868627526262745,-0.07128098406401515,0.21935920214014795,0.46978825497388865,-0.024000345994419883,1.2042493592790218,0.4550595622472103
Pt-11A,Pt11,T,0.8993803586485279,0.26157724547298294,-0.012296795295301442,0.46287332895088434,0.8729022950962116,-0.04323793378448294,1.5705483910767042,1.2989663344674374,0.45252595604911966,0.3567918254460129,-0.06391824593094816,0.007416091296490196,0.41650520909072014,-0.01677048686857652,0.523007708194045,0.2545151602088039
Pt-11B,Pt11,HM,1.6516805387112399,-0.025398379472980112,-0.047322726457731945,0.0786260509192203,0.8171329951775723,-0.06838209051147819,0.8663957226892834,1.0290191346804378,0.07914364668389766,1.5357709433554767,-0.07306249842356435,0.08865218604707889,0.4899983934376607,-0.06293969208694863,1.3682960061647789,0.24833821601172085
Pt-11C,Pt11,LuM,1.4524749619283872,-0.0389500079087116,0.019841996471010134,0.12805051518476285,0.6509237298256054,0.01949147590743831,1.5278311904460213,1.4314460160184095,0.9502857244991946,0.2343329049104967,0.7920574553479461,0.07332077435026238,0.5412097686585182,-0.007521981726958489,0.7809731719554419,0.30988474646941816
Pt-11D,Pt11,PM,0.999135974070132,-0.05241505937484814,-0.04227064888010867,-0.0060080389702735605,0.5566544291266781,-0.04601933279708714,2.3243153669601373,1.262383845862573,0.8739088991104628,0.13690040136793366,-0.0386760561632652,0.0368328173838204,0.5099758488345827,-0.004239904816298004,0.5582650378179833,0.06762662305332619
Pt-12A,Pt12,T,0.15210696508367177,0.02596369014104738,-0.012558645429506429,0.17124591910294185,0.26314258880717434,-0.0275247117324552,0.7092721519016072,0.5916339939780297,0.5464417653069429,0.7459248666297548,-0.04475122422742021,-0.05165106219986137,0.20598129801307433,-0.025510112680159278,0.17274008545163688,0.10394743668392542
Pt-12B,Pt12,HM,1.3620353937587504,0.004982619163580079,0.01667245995238939,0.04726001327886782,0.44948515192602007,-0.06184775120576143,1.4009736242205657,0.6356825297349111,0.18379132243921778,1.0848851348199278,-0.08564130715136091,-0.05416507204871253,0.5101027109243311,0.11488532218168912,1.0293212204488362,0.3171264517969792
Pt-12C,Pt12,LuM,1.8322615962863533,-0.045220413687837434,-0.07396091084089879,0.06890876766961945,0.38059010952547867,-0.0739070010460787,0.8369609250526846,0.752256349418047,0.25879084166146354,0.0029368050905679245,0.025300916031738414,0.10067356007900374,0.34309314402950025,0.09147275423008465,0.7154508237511926,0.2027673343013687
Pt-12D,Pt12,PM,1.7579684743205233,-0.049240559841221054,-0.06706277066387958,0.04778237932845433,0.4188632742886309,-0.06918696121679382,1.4225024963295456,1.0537956472810113,0.18985149270010007,0.014431285914487576,-0.08373976359971755,0.07169920359456104,0.6318330203036228,-0.0054197742200121106,1.7363149008656888,0.2445352157646442
Pt-13A,Pt13,T,0.9082240284593428,-0.03912735014163255,-0.0560454301006906,0.04773509914321548,0.9893237455703924,-0.02347006864441844,0.5546908288696418,0.9043505858918903,0.1599798836859584,0.29700246768309785,-0.08083641322309766,0.07714488495388981,0.6867038927206829,0.1954431658161595,0.9480509900275528,0.2029232198690695
Pt-13B,Pt13,HM,0.9775155409356738,-0.05144086324591184,-0.03539034423671587,0.0691218352778069,0.4823757151319571,-0.035420547897292584,0.4882929988676412,0.3241382347905601,0.035477491273429265,2.967267274607022,-0.06342643502196295,0.001272814840274128,0.3812158003404005,-0.019959042855377425,1.007527680150614,0.09395810560359376
Pt-13C,Pt13,LuM,0.8075080262395032,-0.06591984291551821,-0.016500135290481208,0.07264980504282083,1.1029191094544697,0.08956127377197401,0.4487902888740005,0.4862813277427184,0.6613310209656156,0.17360990296250048,1.99910149647966,0.19894753422905628,0.3472829949843656,0.16303212684341412,0.6729060195441694,0.3573186358625621
Pt-13D,Pt13,PM,0.31882255084065864,-0.08040871668925018,-0.053001532949874294,-0.01499393022257528,0.9131444881628038,-0.03652237622851764,0.628561749620167,0.5656990282911705,0.2842881890187581,0.014736206862655846,-0.08877410646942294,0.0442429042286863,0.5237086192958529,0.4706985343972892,0.6389260749622371,0.0855854855203137
